code,descr1,desc2                    
C0000     ,CIVIL MTR           ,CIVIL MATERIALS AND EQUIPMENT (CIVIL)                       
C8100     ,METAL SECTIONS      ,METAL SECTIONS (CIVIL)                                      
C8200     ,BUILDING MATERIALS  ,BUILDING MATERIALS (CIVIL)                                  
C8300     ,PAINT&FINISHING MAT ,"PAINTS, PAINTING & FINISHING MATERIALS (CIVIL)              "
C8350     ,SIGNS AND LABELS    ,"NAMEPLATES, LABELS, IDENTIFICATION SIGNS (CIVIL)            "
C8400     ,STEEL WORK & SCAFLD ,STRUCTURAL STEELWORK & SCAFFOLDING (CIVIL)                  
E6100     ,CONDS & ACCESSORIES ,CONDUITS & ACCESSORIES (ELECTRICAL)                         
E6101     ,COND. PVC & ACC'S   ,COND. PVC & ACC'S (WIRE & E.D.) (ELECTRICAL)                
E6102     ,COND PVC FLEXIBLE   ,CONDUIT PVC FLEXIBLE & ACC'S (ELECTRICAL)                   
E6103     ,FLOOR BOXES PVC     ,FLOOR BOXES PVC (ELECTRICAL)                                
E6125     ,MARKING WARNING TAPE,MARKING / WARNING TAPE (ELECTRICAL)                         
E6131     ,COND STEEL & ACC'S  ,"CONDUIT STEEL, IMC/RIGID & ACC'S (ELECTRICAL)               "
E6132     ,COND STEEL FLEXIBLE ,CONDUIT STEEL FLEXIBLE & ACC'S (ELECTRICAL)                 
E6133     ,FLOOR BOXES STEEL   ,FLOOR BOXES STEEL (ELECTRICAL)                              
E6134     ,COND STEEL FLEX.LIQD,CONDUIT STEEL FLEX.LIQD. TYPE & ACC'S (ELECTRICAL)          
E6135     ,COND EMT & ACC'S    ,CONDUIT EL. METAL TUBING & ACC'S (ELECTRICAL)               
E6145     ,MANHOLE FITT & ACC'S,MANHOLE FITTINGS & ACC'S (ELECTRICAL)                       
E6151     ,TRUNKING & ACC STEEL,TRUNKING & FITTINGS STEEL (ELECTRICAL)                      
E6151.1   ,GI SUPPORTS         ,GI SUPPORTS FOR TRUNKING (ELECTRICAL)                       
E6152     ,SKIRTING TRUNKING   ,SKIRTING TRUNKING (ELECTRICAL)                              
E6153     ,UNDERFLOOR DUCT UPVC,UNDERFLOOR DUCT SYSTEM & ACC'S (UPVC) (ELECTRICAL)          
E6161     ,CABLE TRAYS & LADDER,CABLE TRAYS & LADDERS (ELECTRICAL)                          
E6162     ,CABLE BASKET TRAY   ,CABLE BASKET TRAY (ELECTRICAL)                              
E6163     ,GI SUPPORTS FOR TRAY,GI SUPPORTS FOR TRAYS (ELECTRICAL)                          
E6164     ,LIGHTING FIXT HANGER,LIGHTING FIXTURES HANGER (ELECTRICAL)                       
E6170     ,PREWIRED CONDUIT SYS,PREWIRED CONDUIT SYSTEM (ELECTRICAL)                        
E6180     ,ELECTRICAL SUNDRIES ,ELECTRICAL SUNDRIES (ELECTRICAL)                            
E6200     ,LV WIRE & CABLES    ,LV WIRE & CABLES (ELECTRICAL)                               
E6201     ,HV CABLES           ,HV CABLES (ELECTRICAL)                                      
E6211     ,HV CABLES TERM.     ,HV CABLES TERMINATIONS (ELECTRICAL)                         
E6221     ,CABLES M.V.         ,CABLES M.V. (ELECTRICAL)                                    
E6222     ,CABLES L.V.         ,CABLES L.V. (ELECTRICAL)                                    
E6225     ,FIRE PROOF CABLES   ,FIRE PROOF CABLES (FP200/400) (ELECTRICAL)                  
E6226     ,MISC SYS WIRES      ,MISC SYSTEM WIRES (ELECTRICAL)                              
E6230     ,HEAT RESISTAN. CABLE,HEAT RESISTANCE CABLES (ELECTRICAL)                         
E6235.1   ,M.V. CABLE TERMINATN,M.V. CABLE TERMINATIONS - GLANDS & LUGS (ELECTRICAL)        
E6235.2   ,L.V. CABLE TERMINATN,L.V. CABLE TERMINATIONS - GLANDS & LUGS (ELECTRICAL)        
E6236     ,CABLE TIES          ,CABLE TIES                                                  
E6240     ,COND & ACC O/H LINES,CONDUIT & ACC'S FOR O/H LINES (ELECTRICAL)                  
E6245     ,WIRING CABLES       ,WIRING CABLES (BRANCH CIRCUIT) (ELECTRICAL)                 
E6250     ,TELEPHONE CABLES    ,TELEPHONE CABLES (ELECTRICAL)                               
E6250.1   ,EPAX SYS            ,EPAX SYSTEM (ELECTRICAL)                                    
E6255     ,DATA CABLES         ,DATA CABLES (ELECTRICAL)                                    
E6256     ,TERM. CAB. TEL.SYS  ,TERMINAL CAB. FOR TELEPHONE SYSTEMS (ELECTRICAL)            
E6260     ,COAXIAL CABLES      ,COAXIAL CABLES (ELECTRICAL)                                 
E6265     ,COAXIAL CABLE ACC.  ,COAXIAL CABLE ACCESSORIES (ELECTRICAL)                      
E6266     ,MATV SYS            ,MATV SYSTEM CAB. S/T-OFF UNIT (ELECTRICAL)                  
E6270     ,CONTROL CABLES      ,CONTROL / SIGNAL WIRES (ELECTRICAL)                         
E6275     ,MICC CABLES         ,MICC CABLES (ELECTRICAL)                                    
E6276     ,FLEXIBLE CABLES     ,FLEXIBLE CABLES (ELECTRICAL)                                
E6280     ,DATA SYS            ,DATA SYSTEM (ELECTRICAL)                                    
E6300     ,PANEL CIRCUIT BREAK.,PANELS CIRCUIT BREAKERS (ELECTRICAL)                        
E6301     ,MAIN SWITCHBOARDS   ,MAIN SWITCHBOARDS (ELECTRICAL)                              
E6302     ,SUBMAIN SWITCHBOARDS,SUBMAIN SWITCHBOARDS (ELECTRICAL)                           
E6303     ,LOAD CENTRES (RMU)  ,LOAD CENTRES (RING MAIN UNITS) (ELECTRICAL)                 
E6304     ,PAR. CON. (GMDB)    ,PARALLELING CONTROL PANELS (GMDB) (ELECTRICAL)              
E6305     ,CONTROL PANEL (HVAC),CONTROL PANELS (HVAC) (ELECTRICAL)                          
E6306     ,COPPER / BRASS SHEET,COPPER / BRASS SHEET (ELECTRICAL)                           
E6307     ,VFD                 ,VARIABLE FREQUENCY DRIVES (ELECTRICAL)                      
E6308     ,DISTRIBUTION BOARDS ,DISTRIBUTION BOARDS (ELECTRICAL)                            
E6310     ,MOTOR CONTROL CENTRE,MOTOR CONTROL CENTRES (ELECTRICAL)                          
E6311     ,MOTOR STARTERS      ,MOTOR STARTERS (ELECTRICAL)                                 
E6312     ,PFCB                ,POWER FACTOR CORRECTION BANK (ELECTRICAL)                   
E6313     ,AIR CIRCUIT BREAKERS,AIR CIRCUIT BREAKERS (ELECTRICAL)                           
E6320     ,MAIN SWITC.  BREAKER,MAIN SWITCHES / BREAKER FUSES (ELECTRICAL)                  
E6321     ,ISOLAT. POWER SUPPLY,ISOLATED POWER SUPPLIES (ELECTRICAL)                        
E6322     ,ISOLATORS SWITCHES  ,ISOLATORS SWITCHES (ELECTRICAL)                             
E6325     ,FLOAT SWITCHES      ,FLOAT SWITCHES (ELECTRICAL)                                 
E6333     ,EMERGENCY PUSH BUTT.,EMERGENCY PUSH BUTTON (ELECTRICAL)                          
E6334.1   ,AUTO TESTING PANELS ,AUTOMATIC TESTING PANELS (ELECTRICAL)                       
E6400     ,LIGHTING FIXTURES   ,LIGHTING FIXTURES (ELECTRICAL)                              
E6401     ,INTERNAL LIGHTING   ,INTERNAL LIGHTING FIXTURES (ELECTRICAL)                     
E6402     ,STAGE LIGHTING      ,STAGE LIGHTING (ELECTRICAL)                                 
E6403     ,CHANDELIERS         ,CHANDELIERS (ELECTRICAL)                                    
E6431     ,STREET/WALK LIGHTING,STREET / WALKWAY LIGHTING FIXTURES (ELECTRICAL)             
E6432     ,EXTERNAL LIGHTING   ,EXTERNAL LIGHTING FIXTURES (ELECTRICAL)                     
E6433     ,EMERGENCY LIGHTS CBS,EMERGENCY LIGHTS CENTRAL BATTERY SYSTEM (ELECTRICAL)        
E6434     ,EMERGENCY LIGHTS NR ,EMERGENCY LIGHTS (PLAIN) (ELECTRICAL)                       
E6434.1   ,AUTO TESTING PANELS ,AUTOMATIC TESTING PANELS (ELECTRICAL)                       
E6435     ,FLOODLIGHTS         ,FLOODLIGHTS (ELECTRICAL)                                    
E6437     ,BOLLARD FITTINGS    ,BOLLARD FITTINGS (ELECTRICAL)                               
E6438     ,UNDER WTR LIGHTING  ,UNDER WATER LIGHTING FIXTURE (ELECTRICAL)                   
E6440     ,LIGHT CONTROL GEAR  ,LIGHTING FIXTURES CONTL. GEARS (ELECTRICAL)                 
E6441     ,EX LIGHT FIXTURES   ,EXPLOSION PROOF LIGHT FIXTURES (ELECTRICAL)                 
