
A, AGREEMENTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, JBK Controls , Oasis-M-001-JBK ,"1) Fire Fighting, sprinkler, Stand Pipe & Hydrant
2) Foam, Water Deluge
3) FM200"," 41,000,000.00 "," 3,004,183.00 ", -   , -   ," 44,004,183.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,211,066.10 "," 3,248,001.30 ", -   ," 2,758,811.02 "," 2,560,422.02 ", -   , -   , -   ," 5,185,531.96 ", -   ," 3,434,283.46 "," 3,153,993.22 ", -   , -   ," 2,078,113.10 "," 2,299,902.01 ", -   , -   , -   , -   , -   , -   ,," 25,930,124.19 "," 18,074,058.81 ",
2, Consolidated Engineering Systems , Oasis-E-001-CESCO ,"1) Fire Alarm
2) VESDA
3) VE & PA for Voice Evacuation
4) Fire Telephone System"," 16,250,000.00 ", -   , -   , -   ," 16,250,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,002,522.59 "," 2,139,462.35 "," 800,705.57 "," 158,515.72 ", -   ," 696,248.35 "," 1,885,431.20 "," 1,202,060.34 "," 579,372.15 ",,,,,,,," 9,464,318.27 "," 6,785,681.73 ",
3,FOSS, Oasis-E-004-FOSS ,Structured Cabling System," 16,055,025.15 "," 3,017,310.00 ", -   , -   ," 19,072,335.15 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 670,456.02 "," 4,372,354.30 "," 296,982.23 "," 103,092.61 "," 182,775.47 "," 205,673.69 "," 274,535.60 ", -   ," 130,000.00 ",,,,,,,," 6,235,869.92 "," 12,836,465.23 ",
4,Energy Electric Controls, Oasis-E-007-ENERGY ,Building Management System," 10,300,000.00 ", -   , -   , -   ," 10,300,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 340,000.00 ", -   , -   ,,,,,,,," 340,000.00 "," 9,960,000.00 ",
5,Energy Electric Controls, Oasis-E-008-ENERGY ,Gest Room Management System," 7,902,506.64 ", -   , -   , -   ," 7,902,506.64 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,, -   ," 7,902,506.64 ",
6,QCTC, Oasis-M-014-QCTC ,Fire Stopping Works," 1,046,407.81 ", -   , -   , -   ," 1,046,407.81 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,532.66 "," 22,942.95 "," 12,581.04 "," 68,016.51 ", -   , -   ," 50,000.00 ",,,,,,,," 157,073.16 "," 889,334.65 ",
7,Unigaz Qatar , Oasis-M-008-UNIGAZ ,Fuel System," 800,000.00 ", -   , -   , -   ," 800,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 78,750.00 "," (56,597.50)",,,,,,,," 22,152.50 "," 777,847.50 ",
8,Unigaz Qatar , Oasis-M-010-UNIGAZ ,LPG System," 719,292.00 ", -   , -   , -   ," 719,292.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 50,000.00 ",,,,,,,," 50,000.00 "," 669,292.00 ",
9,PSC Trading & Contracting, Oasis-M-012-PSC ,Water Mist System," 2,168,037.48 ", -   , -   , -   ," 2,168,037.48 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,, -   ," 2,168,037.48 ",
10,Siemens W.L.L, Oasis-E-013-SIEMENS ,IP CCTV Security System," 35,400,000.00 ", -   , -   , -   ," 35,400,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 208,261.08 ", -   , -   , -   , -   , -   , -   ,," 208,261.08 "," 35,191,738.92 ",
